,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,streaming_service_type
326,Home,2015,7,74,1,0,1,0,Netflix
327,Zack and Miri Make a Porno,2008,18,74,1,1,1,0,Netflix
328,Seeing Allred,2018,16,74,1,0,0,0,Netflix
329,Dostana,2008,13,74,1,0,0,0,Netflix
330,Remember Me,2010,13,74,1,0,0,0,Netflix
331,Underworld: Rise of the Lycans,2009,18,74,1,0,0,0,Netflix
332,The Lovely Bones,2009,13,74,1,0,0,0,Netflix
333,Madagascar: Escape 2 Africa,2008,7,74,1,0,0,0,Netflix
334,No Strings Attached,2011,18,74,1,0,1,0,Netflix
335,Heroin(e),2017,0,74,1,0,0,0,Netflix
336,A Ghost Story,2017,18,74,1,0,0,0,Netflix
337,Safety Not Guaranteed,2012,18,74,1,0,0,0,Netflix
338,Game Over,2019,13,74,1,0,0,0,Netflix
339,Peppermint,2018,18,74,1,0,0,0,Netflix
340,Have a Good Trip: Adventures in Psychedelics,2020,18,74,1,0,0,0,Netflix
341,Beasts of No Nation,2015,18,74,1,0,0,0,Netflix
342,Extinction,2018,18,74,1,0,0,0,Netflix
343,Nobody Knows I'm Here,2020,18,74,1,0,0,0,Netflix
344,ARQ,2016,18,74,1,0,0,0,Netflix
345,Ali's Wedding,2017,18,74,1,0,0,0,Netflix
346,Bo Burnham: Make Happy,2016,18,74,1,0,0,0,Netflix
347,Mank,2020,18,74,1,0,0,0,Netflix
348,"Extremely Wicked, Shockingly Evil and Vile",2019,18,74,1,0,0,0,Netflix
349,Due Date,2010,18,74,1,0,0,0,Netflix
350,Between Two Ferns: The Movie,2019,18,74,1,0,0,0,Netflix
351,Ip Man 2,2010,18,74,1,0,0,0,Netflix
352,Mirage,2018,18,74,1,0,0,0,Netflix
353,Puss in Boots,2011,7,74,1,0,0,0,Netflix
354,Austin Powers in Goldmember,2002,13,74,1,0,0,0,Netflix
355,The Kissing Booth,2018,16,73,1,0,0,0,Netflix
356,Hush,2016,18,73,1,0,0,0,Netflix
357,Lost Bullet,2020,18,73,1,0,0,0,Netflix
358,Dil Chahta Hai,2001,0,73,1,0,0,0,Netflix
359,Election,1999,18,73,1,0,1,0,Netflix
360,Soni,2019,18,73,1,0,0,0,Netflix
361,Bāhubali: The Beginning,2015,13,73,1,0,0,0,Netflix
362,Killing Them Softly,2012,18,73,1,0,0,0,Netflix
363,Swordfish,2001,18,73,1,0,0,0,Netflix
364,Wish Dragon,2021,7,73,1,0,0,0,Netflix
365,Raees,2017,18,73,1,0,0,0,Netflix
366,Let It Snow,2019,13,73,1,0,0,0,Netflix
